# CHS Author: @kawakawaritsuki
# HP: http://www.mizucoffee.net/

:SONGNAME=ウミユリ海底譚
:ARTIST=n-buna
:BPM=120
:SPLIT=4

1,S,1,4,B-3-13-16:C-3-1-4:B-2-2-5:C-2-1-4:B-1-2-5:C-1-1-4

0,H,5,8,13
0,E,9,12
9,T,9,12
11,T,9,12
13,T,9,12
# 最初のロングここまで
15,T,13,16
15,T,1,4
17,T,13,16
17,T,1,4
19,T,5,8

21,T,13,16
21,T,1,4
23,T,9,12

25,T,13,16
25,T,1,4
27,T,5,8

29,T,13,16
29,T,1,4
31,T,9,12

33,T,13,16
33,T,1,4
35,T,5,8

37,T,13,16
37,T,1,4
39,T,9,12

41,T,13,16
41,T,1,4
43,T,5,8

45,E,13,16
45,E,1,4

49,T,13,16
49,T,1,4
51,T,8,11

53,T,13,16
53,T,1,4
55,T,6,9

57,T,13,16
57,T,1,4
59,T,8,11

61,T,13,16
61,T,1,4
63,T,6,9

65,T,13,16
65,T,1,4
67,T,8,11

69,T,13,16
69,T,1,4
71,T,6,9

73,T,13,16
73,T,1,4
75,T,8,11

77,E,13,16
77,E,1,4
